misdrijf,Regio,2010,2011,2012,2013
Openlijke geweldpleging,Zeeland,155,150,150,115
Openlijke geweldpleging,Noord-Brabant,1300,1200,1185,915
Openlijke geweldpleging,Limburg,445,490,325,305
Openlijke geweldpleging,niet in te delen,15,20,5,5
Openlijk geweldtegen persoon,Groningen,200,180,235,155
Openlijk geweldtegen persoon,Friesland,135,135,105,95
Openlijk geweldtegen persoon,Drenthe,110,105,100,70
Openlijk geweldtegen persoon,Overijssel,310,320,255,235
Openlijk geweldtegen persoon,Flevoland,140,150,120,105
Openlijk geweldtegen persoon,Gelderland,745,635,550,465
Openlijk geweldtegen persoon,Utrecht,525,575,485,460
Openlijk geweldtegen persoon,Noord-Holland,1290,1075,930,800
Openlijk geweldtegen persoon,Zuid-Holland,1920,1670,1410,1195
Openlijk geweldtegen persoon,Zeeland,120,115,120,90
Openlijk geweldtegen persoon,Noord-Brabant,1095,1035,1025,810
Openlijk geweldtegen persoon,Limburg,365,410,255,260
Openlijk geweldtegen persoon,niet in te delen,15,15,5,5
Openlijk geweldtegen goed,Groningen,80,70,75,20
Openlijk geweldtegen goed,Friesland,75,80,60,50
Openlijk geweldtegen goed,Drenthe,35,30,30,20
Openlijk geweldtegen goed,Overijssel,80,70,75,40
Openlijk geweldtegen goed,Flevoland,55,45,30,15
Openlijk geweldtegen goed,Gelderland,165,165,140,105
Openlijk geweldtegen goed,Utrecht,170,155,135,105
Openlijk geweldtegen goed,Noord-Holland,385,315,230,180
Openlijk geweldtegen goed,Zuid-Holland,675,555,490,395
Openlijk geweldtegen goed,Zeeland,35,40,25,25
Openlijk geweldtegen goed,Noord-Brabant,205,165,160,105
Openlijk geweldtegen goed,Limburg,80,75,65,45
Openlijk geweldtegen goed,niet in te delen,0,5,0,0
Huisvredebreuk,Groningen,160,165,135,130
Huisvredebreuk,Friesland,95,90,115,90
Huisvredebreuk,Drenthe,35,35,40,50
Huisvredebreuk,Overijssel,145,185,180,170
Huisvredebreuk,Flevoland,40,30,30,50
Huisvredebreuk,Gelderland,275,275,270,240
Huisvredebreuk,Utrecht,205,215,215,230
Huisvredebreuk,Noord-Holland,525,495,495,480
Huisvredebreuk,Zuid-Holland,500,520,560,630
Huisvredebreuk,Zeeland,35,50,45,35
Huisvredebreuk,Noord-Brabant,290,355,365,315
Huisvredebreuk,Limburg,160,185,180,160
Huisvredebreuk,niet in te delen,0,0,0,0
Lokaalvredebreuk,Groningen,30,25,30,25
Lokaalvredebreuk,Friesland,40,25,10,20
Lokaalvredebreuk,Drenthe,25,20,10,15
Lokaalvredebreuk,Overijssel,45,35,45,25
Lokaalvredebreuk,Flevoland,25,15,10,10
Lokaalvredebreuk,Gelderland,80,50,40,35
Lokaalvredebreuk,Utrecht,35,30,20,15
Lokaalvredebreuk,Noord-Holland,135,115,95,75
Lokaalvredebreuk,Zuid-Holland,110,105,100,90
Lokaalvredebreuk,Zeeland,10,15,10,10
Lokaalvredebreuk,Noord-Brabant,100,65,45,65
Lokaalvredebreuk,Limburg,40,30,20,20
Lokaalvredebreuk,niet in te delen,0,0,0,0
Computervredebreuk,Groningen,35,65,145,65
Computervredebreuk,Friesland,30,40,135,60
Computervredebreuk,Drenthe,30,45,150,80
Computervredebreuk,Overijssel,80,175,400,265
Computervredebreuk,Flevoland,30,65,145,85
Computervredebreuk,Gelderland,90,270,625,270
Computervredebreuk,Utrecht,70,185,600,340
Computervredebreuk,Noord-Holland,170,325,690,405
Computervredebreuk,Zuid-Holland,210,295,555,365
Computervredebreuk,Zeeland,15,40,75,40
Computervredebreuk,Noord-Brabant,175,315,785,365
Computervredebreuk,Limburg,80,105,235,110
Computervredebreuk,niet in te delen,20,40,40,20
Discriminatie,Groningen,15,10,10,10
Discriminatie,Friesland,10,10,10,15
Discriminatie,Drenthe,10,5,10,15
Discriminatie,Overijssel,25,25,10,25
Discriminatie,Flevoland,5,10,5,5
Discriminatie,Gelderland,35,30,40,30
Discriminatie,Utrecht,35,20,40,25
Discriminatie,Noord-Holland,145,120,85,80
Discriminatie,Zuid-Holland,85,40,55,70
Discriminatie,Zeeland,10,5,5,5
Discriminatie,Noord-Brabant,40,40,25,20
Discriminatie,Limburg,10,10,5,10
Discriminatie,niet in te delen,5,0,0,5
Openbare orde misdrijf (overig),Groningen,250,250,95,55
Openbare orde misdrijf (overig),Friesland,160,220,125,140
Openbare orde misdrijf (overig),Drenthe,85,95,80,45
Openbare orde misdrijf (overig),Overijssel,590,505,145,65
Openbare orde misdrijf (overig),Flevoland,245,305,120,75
Openbare orde misdrijf (overig),Gelderland,605,620,210,120
Openbare orde misdrijf (overig),Utrecht,365,425,130,90
Openbare orde misdrijf (overig),Noord-Holland,2350,2310,510,350
Openbare orde misdrijf (overig),Zuid-Holland,1630,1465,630,435
Openbare orde misdrijf (overig),Zeeland,110,85,45,35
Openbare orde misdrijf (overig),Noord-Brabant,620,560,320,205
Openbare orde misdrijf (overig),Limburg,425,315,125,100
Openbare orde misdrijf (overig),niet in te delen,10,5,0,0
Brandstichting/ontploffing,Groningen,335,350,290,160
Brandstichting/ontploffing,Friesland,255,330,200,175
Brandstichting/ontploffing,Drenthe,210,230,250,235
Brandstichting/ontploffing,Overijssel,425,335,380,350
Brandstichting/ontploffing,Flevoland,185,170,160,165
Brandstichting/ontploffing,Gelderland,815,805,670,560
Brandstichting/ontploffing,Utrecht,505,455,380,405
Brandstichting/ontploffing,Noord-Holland,995,1005,885,750
Brandstichting/ontploffing,Zuid-Holland,1500,1500,1250,1070
Brandstichting/ontploffing,Zeeland,145,170,135,205
Brandstichting/ontploffing,Noord-Brabant,1060,930,885,760
Brandstichting/ontploffing,Limburg,660,685,610,475
Brandstichting/ontploffing,niet in te delen,0,5,5,0
Openbaar gezag misdrijf,Groningen,125,175,185,115
Openbaar gezag misdrijf,Friesland,145,190,190,95
Openbaar gezag misdrijf,Drenthe,55,100,80,55
Openbaar gezag misdrijf,Overijssel,265,225,270,185
Openbaar gezag misdrijf,Flevoland,85,60,60,75
Openbaar gezag misdrijf,Gelderland,450,430,375,330
Openbaar gezag misdrijf,Utrecht,340,350,265,245
Openbaar gezag misdrijf,Noord-Holland,1435,1425,1290,1230
Openbaar gezag misdrijf,Zuid-Holland,1600,1340,1170,1075
Openbaar gezag misdrijf,Zeeland,80,90,95,90
Openbaar gezag misdrijf,Noord-Brabant,800,735,690,575
Openbaar gezag misdrijf,Limburg,325,225,290,200
Openbaar gezag misdrijf,niet in te delen,15,5,5,5
Niet opvolgen van ambtelijk bevel,Groningen,70,105,105,70
Niet opvolgen van ambtelijk bevel,Friesland,85,140,135,55
Niet opvolgen van ambtelijk bevel,Drenthe,40,75,45,35
Niet opvolgen van ambtelijk bevel,Overijssel,195,145,165,80
Niet opvolgen van ambtelijk bevel,Flevoland,50,35,25,30
Niet opvolgen van ambtelijk bevel,Gelderland,300,260,235,170
Niet opvolgen van ambtelijk bevel,Utrecht,235,255,165,140
Niet opvolgen van ambtelijk bevel,Noord-Holland,1045,1085,910,900
Niet opvolgen van ambtelijk bevel,Zuid-Holland,1020,775,625,500
Niet opvolgen van ambtelijk bevel,Zeeland,60,65,65,55
Niet opvolgen van ambtelijk bevel,Noord-Brabant,560,515,440,350
Niet opvolgen van ambtelijk bevel,Limburg,200,120,165,110
Niet opvolgen van ambtelijk bevel,niet in te delen,5,5,0,0
Wederspannigheid,Groningen,20,35,45,20
Wederspannigheid,Friesland,35,20,30,20
Wederspannigheid,Drenthe,10,10,10,5
Wederspannigheid,Overijssel,45,35,65,55
Wederspannigheid,Flevoland,25,10,20,25
Wederspannigheid,Gelderland,80,100,80,80
Wederspannigheid,Utrecht,50,60,50,65
Wederspannigheid,Noord-Holland,250,225,255,205
Wederspannigheid,Zuid-Holland,415,380,370,345
Wederspannigheid,Zeeland,10,10,15,10
Wederspannigheid,Noord-Brabant,145,130,140,130
Wederspannigheid,Limburg,55,50,45,50
Wederspannigheid,niet in te delen,0,0,0,0
Valse aangifte,Groningen,25,30,25,20
Valse aangifte,Friesland,15,15,10,10
Valse aangifte,Drenthe,5,15,10,5
Valse aangifte,Overijssel,15,30,20,35
Valse aangifte,Flevoland,5,5,15,10
Valse aangifte,Gelderland,40,50,40,50
Valse aangifte,Utrecht,35,30,30,35
Valse aangifte,Noord-Holland,75,65,85,75
Valse aangifte,Zuid-Holland,105,120,110,150
Valse aangifte,Zeeland,10,10,10,10
Valse aangifte,Noord-Brabant,50,50,80,70
Valse aangifte,Limburg,40,30,40,25
Valse aangifte,niet in te delen,5,0,0,5
Verblijf ongewenste vreemdeling,Groningen,0,0,0,0
Verblijf ongewenste vreemdeling,Friesland,0,0,5,5
